AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
53355,733,2026,53461,53,0,6,15,5,rural,6,2,0,1,0,2,104,76.2,753.3,8,1100.3,19
3674,140,183,3674,59.2,0,4,24,3,rural,2,2,0.1,0,0,0,63,77.5,669.7,7.3,1045.9,5
11472,871,217,11610,202,8,0,15,4,urban,3,2,0,9,0,2,222,76.6,649.7,8.5,1087.4,5
3794,468,180,3801,81,0,6,15,5,rural,2,2,0.2,0,0,2,89,76.4,974.9,6.8,1000.5,6
9293,568,140,9405,200,8,0,15,4,small urban,3,2,0,0,0,2,275,77.6,700.9,7.5,907.1,11
1685,215,25,1705,102,0,6,15,4,small urban,2,2,0,0,0,2,108,76.2,827.5,7.5,1109.3,5
415,165,165,420,46,0,6,15,5,rural,2,2,0,0,0,2,103,78.5,1081.5,5.6,1089.7,13
1939,556,153,1962,169,0,6,15,5,urban,6,2,0.1,3,0,2,189,76.6,739.7,8.1,1119.6,7
4443,341,69,4496,96,0,3.3,15,4,urban,2,2,0.1,1,0,2,97,76.6,739.7,8.1,1119.6,1
479,18,4,482,143,0,6,15,5,urban,2,2,0,0,0,2,381,76.4,974.9,6.8,1000.5,21
30815,1057,251,31123,130,0,8.5,10,3,urban,2,3,0.1,27,0,1.5,152,76.1,456.6,8.9,1255.7,21
84000,2130,5780,101700,51,9,3.2,4,1,urban,7,2,0.1,0.5,0,3.2,61.7,76.3,98.4,12.4,1468.6,50
58000,1780,6510,60500,44,8,7,4,1,urban,2,2,0.1,0,0,7,48,73.6,37.4,14.9,1257.3,42
36000,1250,3220,41400,55.3,8,6,4,1,urban,2,2,0.1,0,0,6,55.4,73.6,51.1,14.4,1233.2,47
52000,1070,1890,59100,61.3,9,2,4,1,urban,7,2,0.1,0,0,1.5,72.1,73.6,51.1,14.4,1233.2,57
126000,2920,3820,165700,47.1,11,0.5,13,1,urban,7,3,0.1,0,0,3.5,47.2,75.1,39.5,15.1,1277.7,30
190000,4330,4650,219900,38.5,0,11.5,10,1,urban,2,2,0.1,0,0,3,66,75.1,39.5,15.1,1277.7,45
195000,4460,4790,239700,34,0,12,10,1,urban,2,2,0.2,0,0,3,54,75.1,39.5,15.1,1277.7,46
52000,1070,1890,64100,72,9,2,4,1,urban,7,3,0.1,0,0,1.5,91,74.2,49.8,14.6,1219.1,57
59000,2130,3690,90700,88.4,11,0,12,1,urban,3,3,0,0,0,0,90.1,74.2,49.8,14.6,1219.1,25
46000,1400,5130,57300,64.7,9,9.5,4,1,rural,2,2,0.1,0,0,2.5,74,73.6,51.1,14.4,1233.2,58
48000,1460,5340,61200,53.8,9,9.5,4,1,rural,2,2,0.1,0,0,2.5,56,73.6,51.1,14.4,1233.2,58
56000,1960,4980,60400,53.7,9,13,4,1,urban,7,2,0.1,0,0,1.5,62.5,73.6,51.1,14.4,1233.2,56
